"timeframe","pair","q","lambda_xy","h_x","h_y"
"H1","VN30-VN100",-4,0.687941205251104,0.656366779331659,0.663798071398992
"H1","VN30-VN100",-3,0.657634459026003,0.635156901785926,0.642294582369973
"H1","VN30-VN100",-2,0.625968719630144,0.615535098285469,0.621259316009787
"H1","VN30-VN100",-1,0.602069565258744,0.597985119073486,0.60228872816331
"H1","VN30-VN100",1,0.56117851287942,0.560259052009875,0.561735102121071
"H1","VN30-VN100",2,0.535847988148208,0.535847495689856,0.535966755944947
"H1","VN30-VN100",3,0.508596267217428,0.509185977343954,0.508520204247626
"H1","VN30-VN100",4,0.483193271147442,0.484034517023883,0.483168396799167
"H1","VN30-VN100",5,0.461600526594617,0.46254327314458,0.461677700255072
"H1","VN100-VNINDEX",-5,0.856573715437685,0.68341448220684,0.700111285763916
"H1","VN100-VNINDEX",-4,0.812110448934111,0.663798071398992,0.675958369809602
"H1","VN100-VNINDEX",-3,0.74980079354344,0.642294582369973,0.649488092539401
"H1","VN100-VNINDEX",-2,0.669472555624773,0.621259316009787,0.624803874272457
"H1","VN100-VNINDEX",-1,0.612971759210876,0.60228872816331,0.604058259316043
"H1","VN100-VNINDEX",1,0.562998282812383,0.561735102121071,0.561508891439789
"H1","VN100-VNINDEX",2,0.535822435314645,0.535966755944947,0.535049260870319
"H1","VN100-VNINDEX",3,0.50754586975762,0.508520204247626,0.507083130844461
"H1","VN100-VNINDEX",4,0.481795739605523,0.483168396799167,0.481392970888949
"H1","VN100-VNINDEX",5,0.460196757150454,0.461677700255072,0.459795429392751
"H1","Pcap-VN30",-5,0.895747094804841,0.715797443337924,0.677318093006308
"H1","Pcap-VN30",-4,0.84191337442911,0.690428986162389,0.656366779331659
"H1","Pcap-VN30",-3,0.765519218998568,0.660681740676868,0.635156901785926
"H1","Pcap-VN30",-2,0.678764489676635,0.632354428440613,0.615535098285469
"H1","Pcap-VN30",-1,0.622448672877223,0.609400582765322,0.597985119073486
"H1","Pcap-VN30",1,0.563843549285222,0.563909941782886,0.560259052009875
"H1","Pcap-VN30",2,0.53564328081991,0.536841353051406,0.535847495689856
"H1","Pcap-VN30",3,0.507276213075209,0.509849429372125,0.509185977343954
"H1","Pcap-VN30",4,0.481825100604238,0.486306107457644,0.484034517023883
"H1","Pcap-VN30",5,0.46048453626237,0.466942381741253,0.46254327314458
"H1","Pheur-VN30",-5,0.916383638137163,0.665654779104494,0.677318093006308
"H1","Pheur-VN30",-4,0.864898461535887,0.647583506360939,0.656366779331659
"H1","Pheur-VN30",-3,0.78308059977308,0.627068251018003,0.635156901785926
"H1","Pheur-VN30",-2,0.662328684463449,0.607591051186767,0.615535098285469
"H1","Pheur-VN30",-1,0.580418367769459,0.591328249796262,0.597985119073486
"H1","Pheur-VN30",1,0.551804119604271,0.559425899209732,0.560259052009875
"H1","Pheur-VN30",2,0.536785759472408,0.539907839400645,0.535847495689856
"H1","Pheur-VN30",3,0.519732177937036,0.517921291209492,0.509185977343954
"H1","Pheur-VN30",4,0.503021251317421,0.495583582498783,0.484034517023883
"H1","Pheur-VN30",5,0.487949409344857,0.475056853856522,0.46254327314458
"H1","Pratio-VN30",-5,0.804874417824573,0.659819358578796,0.677318093006308
"H1","Pratio-VN30",-4,0.755419809168911,0.641481225880832,0.656366779331659
"H1","Pratio-VN30",-3,0.681470796644921,0.622061337824359,0.635156901785926
"H1","Pratio-VN30",-2,0.58936509044272,0.604286210591184,0.615535098285469
"H1","Pratio-VN30",-1,0.551558542890551,0.58890537626237,0.597985119073486
"H1","Pratio-VN30",1,0.549203786660131,0.558213896410956,0.560259052009875
"H1","Pratio-VN30",2,0.534608223024851,0.53978148371611,0.535847495689856
"H1","Pratio-VN30",3,0.518340282680567,0.519126954391883,0.509185977343954
"H1","Pratio-VN30",4,0.502458477841039,0.497953195542732,0.484034517023883
"H1","Pratio-VN30",5,0.488179210835262,0.478200955917137,0.46254327314458
"H1","Pres-VN30",-5,0.830204976561988,0.686780929111637,0.677318093006308
"H1","Pres-VN30",-4,0.781529508714522,0.666714948729058,0.656366779331659
"H1","Pres-VN30",-3,0.707867308849241,0.641384798068922,0.635156901785926
"H1","Pres-VN30",-2,0.609928698370186,0.615178270570644,0.615535098285469
"H1","Pres-VN30",-1,0.550964048219522,0.595672600543675,0.597985119073486
"H1","Pres-VN30",1,0.550334926113342,0.561083803199745,0.560259052009875
"H1","Pres-VN30",2,0.53797649734978,0.539990525730567,0.535847495689856
"H1","Pres-VN30",3,0.519666695442197,0.51640910550722,0.509185977343954
"H1","Pres-VN30",4,0.500756473103009,0.492999185628642,0.484034517023883
"H1","Pres-VN30",5,0.483506514021224,0.472046763685719,0.46254327314458
"H4","VN30-VNINDEX",-5,0.87146616461858,0.726799345905124,0.703559224220043
"H4","VN30-VNINDEX",-4,0.831375018507463,0.693812115506891,0.680829834722411
"H4","VN30-VNINDEX",-3,0.771525424921191,0.656860893647904,0.655233920140257
"H4","VN30-VNINDEX",-2,0.688049551680371,0.624869884461457,0.630651010734053
"H4","VN30-VNINDEX",-1,0.6213959034117,0.602401607007069,0.609405379261255
"H4","VN30-VNINDEX",1,0.565843028733817,0.563473629477413,0.563669351263743
"H4","VN30-VNINDEX",2,0.538412641196698,0.539926512514615,0.53575901843754
"H4","VN30-VNINDEX",3,0.51173496238475,0.515675520374184,0.508247572121699
"H4","VN30-VNINDEX",4,0.488804053167546,0.493905771794609,0.484508607623272
